2014-11-01 00:00:00  100 2
-0.0 3.24 0.059 0.004
-0.065 3.24 0.059 0.004
-0.135 3.24 0.059 0.004
-0.208 3.24 0.059 0.004
-0.286 3.24 0.059 0.004
-0.368 3.24 0.059 0.004
-0.455 3.24 0.059 0.004
-0.547 3.24 0.059 0.004
-0.645 3.24 0.059 0.004
-0.748 3.24 0.059 0.004
-0.857 3.24 0.059 0.004
-0.973 3.24 0.059 0.004
-1.095 3.24 0.059 0.004
-1.224 3.24 0.059 0.004
-1.36 3.24 0.059 0.004
-1.504 3.24 0.059 0.004
-1.656 3.24 0.059 0.004
-1.816 3.24 0.059 0.004
-1.986 3.24 0.059 0.004
-2.165 3.24 0.059 0.004
-2.353 3.24 0.059 0.004
-2.552 3.24 0.059 0.004
-2.761 3.24 0.059 0.004
-2.981 3.24 0.059 0.004
-3.213 3.24 0.059 0.004
-3.458 3.24 0.059 0.004
-3.714 3.24 0.059 0.004
-3.984 3.24 0.059 0.004
-4.268 3.24 0.059 0.004
-4.566 3.24 0.059 0.004
-4.878 3.24 0.059 0.004
-5.205 3.24 0.059 0.004
-5.548 3.24 0.059 0.004
-5.908 3.24 0.059 0.004
-6.284 3.24 0.059 0.004
-6.677 3.24 0.059 0.004
-7.087 3.24 0.059 0.004
-7.515 3.239 0.059 0.004
-7.962 3.239 0.059 0.004
-8.427 3.239 0.059 0.004
-8.911 3.239 0.059 0.004
-9.414 3.239 0.059 0.004
-9.937 3.239 0.059 0.004
-10.479 3.238 0.059 0.004
-11.041 3.238 0.059 0.004
-11.622 3.238 0.059 0.004
-12.223 3.237 0.059 0.004
-12.843 3.237 0.059 0.004
-13.482 3.236 0.059 0.004
-14.141 3.235 0.059 0.004
-14.817 3.235 0.059 0.004
-15.512 3.235 0.059 0.004
-16.224 3.234 0.059 0.004
-16.954 3.234 0.059 0.004
-17.699 3.234 0.059 0.004
-18.459 3.234 0.059 0.004
-19.233 3.234 0.059 0.004
-20.021 3.234 0.059 0.004
-20.821 3.234 0.059 0.004
-21.632 3.234 0.059 0.004
-22.452 3.233 0.059 0.004
-23.281 3.233 0.059 0.004
-24.117 3.233 0.059 0.004
-24.958 3.233 0.059 0.004
-25.803 3.233 0.059 0.004
-26.651 3.233 0.059 0.004
-27.5 3.233 0.059 0.004
-28.348 3.233 0.059 0.004
-29.194 3.233 0.059 0.004
-30.037 3.233 0.059 0.004
-30.875 3.233 0.059 0.004
-31.706 3.233 0.059 0.004
-32.529 3.233 0.059 0.004
-33.344 3.233 0.059 0.004
-34.147 3.233 0.059 0.004
-34.939 3.233 0.059 0.004
-35.718 3.233 0.059 0.004
-36.483 3.233 0.059 0.004
-37.234 3.233 0.059 0.004
-37.968 3.233 0.059 0.004
-38.686 3.233 0.059 0.004
-39.387 3.233 0.059 0.004
-40.07 3.233 0.059 0.004
-40.734 3.233 0.059 0.004
-41.38 3.233 0.059 0.004
-42.007 3.233 0.059 0.004
-42.614 3.233 0.059 0.004
-43.202 3.233 0.059 0.004
-43.77 3.233 0.059 0.004
-44.318 3.233 0.059 0.004
-44.847 3.233 0.059 0.004
-45.357 3.233 0.059 0.004
-45.848 3.233 0.059 0.004
-46.319 3.233 0.059 0.004
-46.772 3.233 0.059 0.004
-47.206 3.233 0.059 0.004
-47.622 3.233 0.059 0.004
-48.021 3.233 0.059 0.004
-48.403 3.233 0.059 0.004
-48.767 3.233 0.059 0.004
