2014-11-01 00:00:00  100 2
-0.0 2.767 0.037 0.003 0.03
-0.065 2.767 0.037 0.003 0.03
-0.135 2.766 0.037 0.003 0.03
-0.208 2.766 0.037 0.003 0.03
-0.286 2.766 0.037 0.003 0.03
-0.368 2.766 0.037 0.003 0.03
-0.455 2.765 0.037 0.003 0.03
-0.547 2.765 0.037 0.003 0.03
-0.645 2.765 0.037 0.003 0.03
-0.748 2.764 0.037 0.003 0.03
-0.857 2.764 0.037 0.003 0.03
-0.973 2.763 0.037 0.003 0.03
-1.095 2.763 0.037 0.003 0.03
-1.224 2.762 0.037 0.003 0.03
-1.36 2.762 0.037 0.003 0.03
-1.504 2.761 0.037 0.003 0.03
-1.656 2.76 0.037 0.003 0.03
-1.816 2.759 0.037 0.003 0.03
-1.986 2.759 0.036 0.003 0.03
-2.165 2.758 0.036 0.003 0.03
-2.353 2.757 0.036 0.003 0.03
-2.552 2.755 0.036 0.003 0.03
-2.761 2.754 0.036 0.003 0.03
-2.981 2.753 0.036 0.003 0.03
-3.213 2.751 0.036 0.003 0.03
-3.458 2.749 0.036 0.003 0.03
-3.714 2.747 0.036 0.003 0.03
-3.984 2.745 0.036 0.003 0.029
-4.268 2.743 0.036 0.003 0.029
-4.566 2.74 0.036 0.003 0.029
-4.878 2.737 0.036 0.003 0.029
-5.205 2.733 0.036 0.003 0.029
-5.548 2.729 0.036 0.003 0.029
-5.908 2.724 0.036 0.003 0.029
-6.284 2.719 0.036 0.003 0.029
-6.677 2.713 0.036 0.003 0.029
-7.087 2.706 0.036 0.003 0.029
-7.515 2.699 0.036 0.003 0.029
-7.962 2.69 0.036 0.003 0.029
-8.427 2.679 0.035 0.003 0.029
-8.911 2.668 0.035 0.003 0.029
-9.414 2.654 0.035 0.003 0.029
-9.937 2.639 0.035 0.003 0.029
-10.479 2.621 0.035 0.003 0.029
-11.041 2.601 0.034 0.003 0.028
-11.622 2.579 0.034 0.003 0.028
-12.223 2.556 0.034 0.003 0.028
-12.843 2.53 0.033 0.003 0.028
-13.482 2.502 0.033 0.003 0.027
-14.141 2.48 0.033 0.003 0.027
-14.817 2.463 0.033 0.003 0.027
-15.512 2.449 0.032 0.003 0.027
-16.224 2.439 0.032 0.003 0.027
-16.954 2.43 0.032 0.003 0.027
-17.699 2.423 0.032 0.003 0.027
-18.459 2.417 0.032 0.003 0.026
-19.233 2.412 0.032 0.003 0.026
-20.021 2.408 0.032 0.003 0.026
-20.821 2.404 0.032 0.003 0.026
-21.632 2.401 0.032 0.003 0.026
-22.452 2.398 0.032 0.003 0.026
-23.281 2.395 0.032 0.003 0.026
-24.117 2.393 0.032 0.003 0.026
-24.958 2.391 0.032 0.003 0.026
-25.803 2.389 0.032 0.003 0.026
-26.651 2.387 0.032 0.003 0.026
-27.5 2.385 0.032 0.003 0.026
-28.348 2.384 0.032 0.003 0.026
-29.194 2.382 0.032 0.003 0.026
-30.037 2.381 0.032 0.003 0.026
-30.875 2.38 0.031 0.003 0.026
-31.706 2.379 0.031 0.003 0.026
-32.529 2.378 0.031 0.003 0.026
-33.344 2.377 0.031 0.003 0.026
-34.147 2.376 0.031 0.003 0.026
-34.939 2.375 0.031 0.003 0.026
-35.718 2.374 0.031 0.003 0.026
-36.483 2.373 0.031 0.003 0.026
-37.234 2.373 0.031 0.003 0.026
-37.968 2.372 0.031 0.003 0.026
-38.686 2.371 0.031 0.003 0.026
-39.387 2.371 0.031 0.003 0.026
-40.07 2.37 0.031 0.003 0.026
-40.734 2.369 0.031 0.003 0.026
-41.38 2.369 0.031 0.003 0.026
-42.007 2.368 0.031 0.003 0.026
-42.614 2.368 0.031 0.003 0.026
-43.202 2.367 0.031 0.003 0.026
-43.77 2.367 0.031 0.003 0.026
-44.318 2.366 0.031 0.003 0.026
-44.847 2.366 0.031 0.003 0.026
-45.357 2.365 0.031 0.003 0.026
-45.848 2.365 0.031 0.003 0.026
-46.319 2.364 0.031 0.003 0.026
-46.772 2.364 0.031 0.003 0.026
-47.206 2.363 0.031 0.003 0.026
-47.622 2.363 0.031 0.003 0.026
-48.021 2.362 0.031 0.003 0.026
-48.403 2.361 0.031 0.003 0.026
-48.767 2.352 0.031 0.003 0.026
