2014-11-01 00:00:00  100 2
-0.0 15.761 0.257 0.016
-0.065 15.81 0.258 0.016
-0.135 15.84 0.259 0.016
-0.208 15.861 0.259 0.016
-0.286 15.879 0.259 0.016
-0.368 15.893 0.259 0.016
-0.455 15.906 0.26 0.016
-0.547 15.917 0.26 0.016
-0.645 15.927 0.26 0.016
-0.748 15.937 0.26 0.016
-0.857 15.946 0.26 0.016
-0.973 15.955 0.26 0.016
-1.095 15.963 0.261 0.017
-1.224 15.971 0.261 0.017
-1.36 15.979 0.261 0.017
-1.504 15.986 0.261 0.017
-1.656 15.994 0.261 0.017
-1.816 16.001 0.261 0.017
-1.986 16.008 0.261 0.017
-2.165 16.016 0.261 0.017
-2.353 16.023 0.262 0.017
-2.552 16.03 0.262 0.017
-2.761 16.038 0.262 0.017
-2.981 16.045 0.262 0.017
-3.213 16.053 0.262 0.017
-3.458 16.061 0.262 0.017
-3.714 16.069 0.262 0.017
-3.984 16.077 0.262 0.017
-4.268 16.086 0.263 0.017
-4.566 16.095 0.263 0.017
-4.878 16.104 0.263 0.017
-5.205 16.113 0.263 0.017
-5.548 16.123 0.263 0.017
-5.908 16.133 0.263 0.017
-6.284 16.144 0.264 0.017
-6.677 16.156 0.264 0.017
-7.087 16.168 0.264 0.017
-7.515 16.181 0.264 0.017
-7.962 16.195 0.264 0.017
-8.427 16.21 0.265 0.017
-8.911 16.226 0.265 0.017
-9.414 16.243 0.265 0.017
-9.937 16.261 0.265 0.017
-10.479 16.281 0.266 0.017
-11.041 16.303 0.266 0.017
-11.622 16.324 0.266 0.017
-12.223 16.347 0.267 0.017
-12.843 16.37 0.267 0.017
-13.482 16.392 0.268 0.017
-14.141 16.409 0.268 0.017
-14.817 16.421 0.268 0.017
-15.512 16.431 0.268 0.017
-16.224 16.438 0.268 0.017
-16.954 16.443 0.268 0.017
-17.699 16.447 0.268 0.017
-18.459 16.451 0.269 0.017
-19.233 16.453 0.269 0.017
-20.021 16.456 0.269 0.017
-20.821 16.458 0.269 0.017
-21.632 16.46 0.269 0.017
-22.452 16.461 0.269 0.017
-23.281 16.463 0.269 0.017
-24.117 16.465 0.269 0.017
-24.958 16.466 0.269 0.017
-25.803 16.468 0.269 0.017
-26.651 16.469 0.269 0.017
-27.5 16.47 0.269 0.017
-28.348 16.472 0.269 0.017
-29.194 16.473 0.269 0.017
-30.037 16.474 0.269 0.017
-30.875 16.475 0.269 0.017
-31.706 16.477 0.269 0.017
-32.529 16.478 0.269 0.017
-33.344 16.479 0.269 0.017
-34.147 16.48 0.269 0.017
-34.939 16.481 0.269 0.017
-35.718 16.482 0.269 0.017
-36.483 16.483 0.269 0.017
-37.234 16.484 0.269 0.017
-37.968 16.485 0.269 0.017
-38.686 16.486 0.269 0.017
-39.387 16.487 0.269 0.017
-40.07 16.487 0.269 0.017
-40.734 16.488 0.269 0.017
-41.38 16.489 0.269 0.017
-42.007 16.49 0.269 0.017
-42.614 16.49 0.269 0.017
-43.202 16.491 0.269 0.017
-43.77 16.492 0.269 0.017
-44.318 16.492 0.269 0.017
-44.847 16.493 0.269 0.017
-45.357 16.493 0.269 0.017
-45.848 16.494 0.269 0.017
-46.319 16.494 0.269 0.017
-46.772 16.495 0.269 0.017
-47.206 16.495 0.269 0.017
-47.622 16.496 0.269 0.017
-48.021 16.496 0.269 0.017
-48.403 16.496 0.269 0.017
-48.767 16.036 0.262 0.017
