2014-11-01 00:00:00  100 2
-0.0 3.6 0.072 0.006
-0.065 3.6 0.072 0.006
-0.135 3.6 0.072 0.006
-0.208 3.6 0.072 0.006
-0.286 3.6 0.072 0.006
-0.368 3.6 0.072 0.006
-0.455 3.6 0.072 0.006
-0.547 3.6 0.072 0.006
-0.645 3.6 0.072 0.006
-0.748 3.6 0.072 0.006
-0.857 3.6 0.072 0.006
-0.973 3.6 0.072 0.006
-1.095 3.6 0.072 0.006
-1.224 3.6 0.072 0.006
-1.36 3.6 0.072 0.006
-1.504 3.6 0.072 0.006
-1.656 3.6 0.072 0.006
-1.816 3.6 0.072 0.006
-1.986 3.6 0.072 0.006
-2.165 3.6 0.072 0.006
-2.353 3.6 0.072 0.006
-2.552 3.6 0.072 0.006
-2.761 3.6 0.072 0.006
-2.981 3.6 0.072 0.006
-3.213 3.6 0.072 0.006
-3.458 3.6 0.072 0.006
-3.714 3.6 0.072 0.006
-3.984 3.6 0.072 0.006
-4.268 3.6 0.072 0.006
-4.566 3.6 0.072 0.006
-4.878 3.6 0.072 0.006
-5.205 3.6 0.072 0.006
-5.548 3.6 0.072 0.006
-5.908 3.6 0.072 0.006
-6.284 3.6 0.072 0.006
-6.677 3.6 0.072 0.006
-7.087 3.6 0.072 0.006
-7.515 3.6 0.072 0.006
-7.962 3.6 0.072 0.006
-8.427 3.6 0.072 0.006
-8.911 3.6 0.072 0.006
-9.414 3.6 0.072 0.006
-9.937 3.599 0.072 0.006
-10.479 3.599 0.072 0.006
-11.041 3.599 0.072 0.006
-11.622 3.599 0.072 0.006
-12.223 3.599 0.072 0.006
-12.843 3.599 0.072 0.006
-13.482 3.598 0.071 0.006
-14.141 3.598 0.071 0.006
-14.817 3.598 0.071 0.006
-15.512 3.598 0.071 0.006
-16.224 3.598 0.071 0.006
-16.954 3.598 0.071 0.006
-17.699 3.598 0.071 0.006
-18.459 3.598 0.071 0.006
-19.233 3.598 0.071 0.006
-20.021 3.597 0.071 0.006
-20.821 3.597 0.071 0.006
-21.632 3.597 0.071 0.006
-22.452 3.597 0.071 0.006
-23.281 3.597 0.071 0.006
-24.117 3.597 0.071 0.006
-24.958 3.597 0.071 0.006
-25.803 3.597 0.071 0.006
-26.651 3.597 0.071 0.006
-27.5 3.597 0.071 0.006
-28.348 3.597 0.071 0.006
-29.194 3.597 0.071 0.006
-30.037 3.597 0.071 0.006
-30.875 3.597 0.071 0.006
-31.706 3.597 0.071 0.006
-32.529 3.597 0.071 0.006
-33.344 3.597 0.071 0.006
-34.147 3.597 0.071 0.006
-34.939 3.597 0.071 0.006
-35.718 3.597 0.071 0.006
-36.483 3.597 0.071 0.006
-37.234 3.597 0.071 0.006
-37.968 3.597 0.071 0.006
-38.686 3.597 0.071 0.006
-39.387 3.597 0.071 0.006
-40.07 3.597 0.071 0.006
-40.734 3.597 0.071 0.006
-41.38 3.597 0.071 0.006
-42.007 3.597 0.071 0.006
-42.614 3.597 0.071 0.006
-43.202 3.597 0.071 0.006
-43.77 3.597 0.071 0.006
-44.318 3.597 0.071 0.006
-44.847 3.597 0.071 0.006
-45.357 3.597 0.071 0.006
-45.848 3.597 0.071 0.006
-46.319 3.597 0.071 0.006
-46.772 3.597 0.071 0.006
-47.206 3.597 0.071 0.006
-47.622 3.597 0.071 0.006
-48.021 3.597 0.071 0.006
-48.403 3.597 0.071 0.006
-48.767 3.597 0.071 0.006
