2014-11-01 00:00:00  100 2
-0.0 5.026 0.068 0.008 0.08
-0.065 5.026 0.068 0.008 0.08
-0.135 5.026 0.068 0.008 0.08
-0.208 5.025 0.068 0.008 0.08
-0.286 5.025 0.068 0.008 0.08
-0.368 5.025 0.068 0.008 0.08
-0.455 5.024 0.068 0.008 0.08
-0.547 5.024 0.068 0.008 0.08
-0.645 5.023 0.068 0.008 0.08
-0.748 5.023 0.068 0.008 0.08
-0.857 5.022 0.068 0.008 0.08
-0.973 5.021 0.068 0.008 0.08
-1.095 5.021 0.068 0.008 0.08
-1.224 5.02 0.068 0.008 0.08
-1.36 5.019 0.068 0.008 0.08
-1.504 5.018 0.068 0.008 0.08
-1.656 5.017 0.068 0.008 0.08
-1.816 5.016 0.068 0.008 0.08
-1.986 5.015 0.068 0.008 0.08
-2.165 5.013 0.068 0.008 0.08
-2.353 5.012 0.068 0.008 0.08
-2.552 5.01 0.068 0.008 0.08
-2.761 5.008 0.068 0.008 0.08
-2.981 5.006 0.068 0.008 0.08
-3.213 5.004 0.068 0.008 0.08
-3.458 5.001 0.068 0.008 0.08
-3.714 4.998 0.068 0.008 0.08
-3.984 4.995 0.068 0.008 0.08
-4.268 4.991 0.068 0.008 0.08
-4.566 4.987 0.067 0.008 0.08
-4.878 4.982 0.067 0.008 0.08
-5.205 4.977 0.067 0.008 0.08
-5.548 4.971 0.067 0.008 0.08
-5.908 4.964 0.067 0.008 0.08
-6.284 4.956 0.067 0.008 0.08
-6.677 4.947 0.067 0.008 0.08
-7.087 4.936 0.067 0.008 0.08
-7.515 4.924 0.067 0.008 0.079
-7.962 4.91 0.066 0.008 0.079
-8.427 4.893 0.066 0.008 0.079
-8.911 4.874 0.066 0.008 0.079
-9.414 4.852 0.066 0.008 0.079
-9.937 4.826 0.065 0.007 0.079
-10.479 4.796 0.065 0.007 0.078
-11.041 4.762 0.064 0.007 0.078
-11.622 4.725 0.064 0.007 0.077
-12.223 4.684 0.063 0.007 0.077
-12.843 4.638 0.063 0.007 0.076
-13.482 4.587 0.062 0.007 0.076
-14.141 4.546 0.062 0.007 0.075
-14.817 4.514 0.061 0.007 0.075
-15.512 4.488 0.061 0.007 0.074
-16.224 4.467 0.06 0.007 0.074
-16.954 4.45 0.06 0.007 0.073
-17.699 4.436 0.06 0.007 0.073
-18.459 4.424 0.06 0.007 0.073
-19.233 4.414 0.06 0.007 0.073
-20.021 4.405 0.06 0.007 0.073
-20.821 4.397 0.06 0.007 0.073
-21.632 4.391 0.059 0.007 0.072
-22.452 4.385 0.059 0.007 0.072
-23.281 4.379 0.059 0.007 0.072
-24.117 4.374 0.059 0.007 0.072
-24.958 4.37 0.059 0.007 0.072
-25.803 4.366 0.059 0.007 0.072
-26.651 4.362 0.059 0.007 0.072
-27.5 4.359 0.059 0.007 0.072
-28.348 4.355 0.059 0.007 0.072
-29.194 4.352 0.059 0.007 0.072
-30.037 4.35 0.059 0.007 0.072
-30.875 4.347 0.059 0.007 0.072
-31.706 4.345 0.059 0.007 0.072
-32.529 4.342 0.059 0.007 0.071
-33.344 4.34 0.059 0.007 0.071
-34.147 4.338 0.059 0.007 0.071
-34.939 4.336 0.059 0.007 0.071
-35.718 4.334 0.059 0.007 0.071
-36.483 4.333 0.059 0.007 0.071
-37.234 4.331 0.059 0.007 0.071
-37.968 4.33 0.059 0.007 0.071
-38.686 4.328 0.059 0.007 0.071
-39.387 4.327 0.059 0.007 0.071
-40.07 4.325 0.059 0.007 0.071
-40.734 4.324 0.059 0.007 0.071
-41.38 4.323 0.059 0.007 0.071
-42.007 4.321 0.059 0.007 0.071
-42.614 4.32 0.059 0.007 0.071
-43.202 4.319 0.058 0.007 0.071
-43.77 4.318 0.058 0.007 0.071
-44.318 4.317 0.058 0.007 0.071
-44.847 4.316 0.058 0.007 0.071
-45.357 4.315 0.058 0.007 0.071
-45.848 4.314 0.058 0.007 0.071
-46.319 4.313 0.058 0.007 0.071
-46.772 4.311 0.058 0.007 0.071
-47.206 4.31 0.058 0.007 0.071
-47.622 4.309 0.058 0.007 0.071
-48.021 4.307 0.058 0.007 0.071
-48.403 4.305 0.058 0.007 0.071
-48.767 4.279 0.058 0.007 0.07
