2014-11-01 00:00:00  100 2
-0.0 2.631 0.043 0.005
-0.065 2.631 0.043 0.005
-0.135 2.631 0.043 0.005
-0.208 2.631 0.043 0.005
-0.286 2.631 0.043 0.005
-0.368 2.631 0.043 0.005
-0.455 2.631 0.043 0.005
-0.547 2.631 0.043 0.005
-0.645 2.63 0.043 0.005
-0.748 2.63 0.043 0.005
-0.857 2.63 0.043 0.005
-0.973 2.63 0.043 0.005
-1.095 2.63 0.043 0.005
-1.224 2.63 0.043 0.005
-1.36 2.63 0.043 0.005
-1.504 2.63 0.043 0.005
-1.656 2.63 0.043 0.005
-1.816 2.63 0.043 0.005
-1.986 2.63 0.043 0.005
-2.165 2.63 0.043 0.005
-2.353 2.63 0.043 0.005
-2.552 2.63 0.043 0.005
-2.761 2.63 0.043 0.005
-2.981 2.63 0.043 0.005
-3.213 2.63 0.043 0.005
-3.458 2.63 0.043 0.005
-3.714 2.63 0.043 0.005
-3.984 2.63 0.043 0.005
-4.268 2.63 0.043 0.005
-4.566 2.63 0.043 0.005
-4.878 2.629 0.043 0.005
-5.205 2.629 0.043 0.005
-5.548 2.629 0.043 0.005
-5.908 2.629 0.043 0.005
-6.284 2.629 0.043 0.005
-6.677 2.629 0.043 0.005
-7.087 2.628 0.043 0.005
-7.515 2.628 0.043 0.005
-7.962 2.627 0.043 0.005
-8.427 2.627 0.043 0.005
-8.911 2.626 0.043 0.005
-9.414 2.626 0.043 0.005
-9.937 2.625 0.043 0.005
-10.479 2.623 0.043 0.005
-11.041 2.622 0.043 0.005
-11.622 2.62 0.043 0.005
-12.223 2.618 0.043 0.005
-12.843 2.615 0.043 0.005
-13.482 2.612 0.043 0.005
-14.141 2.61 0.043 0.005
-14.817 2.608 0.043 0.005
-15.512 2.606 0.043 0.005
-16.224 2.605 0.043 0.005
-16.954 2.604 0.043 0.005
-17.699 2.603 0.043 0.005
-18.459 2.602 0.043 0.005
-19.233 2.602 0.043 0.005
-20.021 2.601 0.043 0.005
-20.821 2.601 0.043 0.005
-21.632 2.601 0.043 0.005
-22.452 2.6 0.043 0.005
-23.281 2.6 0.043 0.005
-24.117 2.6 0.043 0.005
-24.958 2.6 0.043 0.005
-25.803 2.599 0.043 0.005
-26.651 2.599 0.043 0.005
-27.5 2.599 0.043 0.005
-28.348 2.599 0.043 0.005
-29.194 2.599 0.043 0.005
-30.037 2.599 0.043 0.005
-30.875 2.598 0.043 0.005
-31.706 2.598 0.043 0.005
-32.529 2.598 0.043 0.005
-33.344 2.598 0.043 0.005
-34.147 2.598 0.043 0.005
-34.939 2.598 0.043 0.005
-35.718 2.598 0.043 0.005
-36.483 2.598 0.043 0.005
-37.234 2.598 0.043 0.005
-37.968 2.597 0.043 0.005
-38.686 2.597 0.043 0.005
-39.387 2.597 0.043 0.005
-40.07 2.597 0.043 0.005
-40.734 2.597 0.043 0.005
-41.38 2.597 0.043 0.005
-42.007 2.597 0.043 0.005
-42.614 2.597 0.043 0.005
-43.202 2.597 0.043 0.005
-43.77 2.597 0.043 0.005
-44.318 2.597 0.043 0.005
-44.847 2.597 0.043 0.005
-45.357 2.597 0.043 0.005
-45.848 2.597 0.043 0.005
-46.319 2.597 0.043 0.005
-46.772 2.596 0.043 0.005
-47.206 2.596 0.042 0.005
-47.622 2.596 0.042 0.005
-48.021 2.596 0.042 0.005
-48.403 2.596 0.042 0.005
-48.767 2.596 0.042 0.005
