2014-06-01 00:00:00  100 2
-0.0 11.777 0.204 0.016
-0.067 11.777 0.204 0.016
-0.137 11.777 0.204 0.016
-0.212 11.777 0.204 0.016
-0.292 11.777 0.204 0.016
-0.376 11.777 0.204 0.016
-0.464 11.777 0.204 0.016
-0.558 11.777 0.204 0.016
-0.658 11.777 0.204 0.016
-0.763 11.777 0.204 0.016
-0.875 11.777 0.204 0.016
-0.992 11.777 0.204 0.016
-1.117 11.777 0.204 0.016
-1.249 11.777 0.204 0.016
-1.388 11.777 0.204 0.016
-1.535 11.777 0.204 0.016
-1.69 11.777 0.204 0.016
-1.853 11.777 0.204 0.016
-2.026 11.777 0.204 0.016
-2.209 11.777 0.204 0.016
-2.401 11.777 0.204 0.016
-2.604 11.777 0.204 0.016
-2.817 11.777 0.204 0.016
-3.042 11.777 0.204 0.016
-3.279 11.776 0.204 0.016
-3.528 11.776 0.204 0.016
-3.79 11.776 0.204 0.016
-4.065 11.776 0.204 0.016
-4.355 11.776 0.204 0.016
-4.658 11.776 0.204 0.016
-4.977 11.776 0.204 0.016
-5.311 11.776 0.204 0.016
-5.661 11.775 0.204 0.016
-6.028 11.775 0.204 0.016
-6.411 11.773 0.204 0.016
-6.812 11.771 0.204 0.016
-7.231 11.769 0.204 0.016
-7.668 11.767 0.204 0.016
-8.124 11.764 0.204 0.016
-8.598 11.761 0.204 0.016
-9.092 11.76 0.204 0.016
-9.606 11.764 0.205 0.016
-10.139 11.783 0.205 0.016
-10.692 11.847 0.206 0.016
-11.265 12.035 0.209 0.017
-11.858 12.398 0.214 0.017
-12.471 13.035 0.223 0.018
-13.104 13.473 0.23 0.019
-13.757 13.003 0.225 0.018
-14.428 12.374 0.217 0.017
-15.119 11.79 0.209 0.017
-15.828 11.154 0.199 0.016
-16.555 10.428 0.187 0.015
-17.299 9.589 0.173 0.014
-18.059 8.572 0.155 0.012
-18.835 7.365 0.133 0.01
-19.625 6.249 0.113 0.008
-20.429 5.547 0.101 0.007
-21.245 5.203 0.094 0.007
-22.072 5.04 0.091 0.007
-22.909 4.957 0.09 0.006
-23.755 4.912 0.089 0.006
-24.608 4.886 0.089 0.006
-25.466 4.869 0.088 0.006
-26.328 4.857 0.088 0.006
-27.193 4.849 0.088 0.006
-28.06 4.844 0.088 0.006
-28.925 4.84 0.088 0.006
-29.789 4.836 0.088 0.006
-30.648 4.834 0.088 0.006
-31.503 4.832 0.088 0.006
-32.351 4.83 0.088 0.006
-33.192 4.829 0.088 0.006
-34.022 4.828 0.088 0.006
-34.842 4.827 0.088 0.006
-35.65 4.826 0.088 0.006
-36.445 4.825 0.088 0.006
-37.226 4.824 0.088 0.006
-37.991 4.824 0.088 0.006
-38.741 4.823 0.088 0.006
-39.473 4.823 0.088 0.006
-40.188 4.822 0.088 0.006
-40.885 4.822 0.088 0.006
-41.563 4.822 0.088 0.006
-42.222 4.821 0.088 0.006
-42.861 4.821 0.088 0.006
-43.481 4.821 0.088 0.006
-44.081 4.821 0.088 0.006
-44.661 4.82 0.087 0.006
-45.22 4.82 0.087 0.006
-45.76 4.82 0.087 0.006
-46.28 4.82 0.087 0.006
-46.781 4.82 0.087 0.006
-47.262 4.819 0.087 0.006
-47.724 4.819 0.087 0.006
-48.167 4.819 0.087 0.006
-48.592 4.819 0.087 0.006
-48.999 4.819 0.087 0.006
-49.388 4.819 0.087 0.006
-49.76 4.819 0.087 0.006
