2014-06-01 00:00:00  100 2
-0.0 21.194 0.19 0.022 0.112
-0.067 21.194 0.19 0.022 0.112
-0.137 21.193 0.19 0.022 0.112
-0.212 21.192 0.19 0.022 0.112
-0.292 21.191 0.19 0.022 0.112
-0.376 21.19 0.19 0.022 0.112
-0.464 21.189 0.19 0.022 0.112
-0.558 21.188 0.19 0.022 0.112
-0.658 21.187 0.19 0.022 0.112
-0.763 21.185 0.19 0.022 0.112
-0.875 21.184 0.19 0.022 0.112
-0.992 21.182 0.19 0.022 0.112
-1.117 21.181 0.19 0.022 0.112
-1.249 21.179 0.19 0.022 0.112
-1.388 21.177 0.19 0.022 0.112
-1.535 21.175 0.19 0.022 0.112
-1.69 21.172 0.19 0.022 0.112
-1.853 21.17 0.19 0.022 0.112
-2.026 21.167 0.19 0.022 0.112
-2.209 21.164 0.19 0.022 0.112
-2.401 21.16 0.19 0.022 0.112
-2.604 21.156 0.19 0.022 0.112
-2.817 21.151 0.19 0.022 0.112
-3.042 21.146 0.19 0.022 0.112
-3.279 21.139 0.19 0.022 0.112
-3.528 21.132 0.19 0.022 0.112
-3.79 21.124 0.19 0.022 0.112
-4.065 21.114 0.19 0.022 0.112
-4.355 21.102 0.19 0.022 0.112
-4.658 21.088 0.19 0.022 0.112
-4.977 21.071 0.19 0.022 0.112
-5.311 21.05 0.19 0.022 0.112
-5.661 21.022 0.19 0.022 0.113
-6.028 20.976 0.19 0.022 0.113
-6.411 20.904 0.19 0.022 0.113
-6.812 20.818 0.191 0.022 0.113
-7.231 20.714 0.191 0.022 0.114
-7.668 20.599 0.191 0.022 0.115
-8.124 20.45 0.192 0.022 0.116
-8.598 20.274 0.192 0.022 0.118
-9.092 20.101 0.193 0.021 0.12
-9.606 19.931 0.194 0.021 0.123
-10.139 19.767 0.196 0.021 0.128
-10.692 19.644 0.199 0.021 0.135
-11.265 19.688 0.204 0.021 0.145
-11.858 19.968 0.211 0.021 0.156
-12.471 20.668 0.224 0.022 0.174
-13.104 21.748 0.245 0.023 0.2
-13.757 22.133 0.26 0.024 0.219
-14.428 21.489 0.262 0.023 0.225
-15.119 20.026 0.253 0.022 0.217
-15.828 18.008 0.234 0.021 0.2
-16.555 15.78 0.207 0.018 0.178
-17.299 13.48 0.178 0.016 0.154
-18.059 11.005 0.145 0.013 0.127
-18.835 8.293 0.11 0.01 0.097
-19.625 5.842 0.077 0.007 0.069
-20.429 4.275 0.057 0.005 0.051
-21.245 3.48 0.046 0.004 0.042
-22.072 3.086 0.041 0.004 0.037
-22.909 2.877 0.038 0.003 0.035
-23.755 2.757 0.036 0.003 0.034
-24.608 2.683 0.035 0.003 0.033
-25.466 2.634 0.035 0.003 0.032
-26.328 2.599 0.034 0.003 0.032
-27.193 2.574 0.034 0.003 0.031
-28.06 2.556 0.034 0.003 0.031
-28.925 2.542 0.034 0.003 0.031
-29.789 2.531 0.033 0.003 0.031
-30.648 2.522 0.033 0.003 0.031
-31.503 2.515 0.033 0.003 0.031
-32.351 2.509 0.033 0.003 0.031
-33.192 2.504 0.033 0.003 0.031
-34.022 2.5 0.033 0.003 0.03
-34.842 2.496 0.033 0.003 0.03
-35.65 2.493 0.033 0.003 0.03
-36.445 2.49 0.033 0.003 0.03
-37.226 2.488 0.033 0.003 0.03
-37.991 2.485 0.033 0.003 0.03
-38.741 2.483 0.033 0.003 0.03
-39.473 2.482 0.033 0.003 0.03
-40.188 2.48 0.033 0.003 0.03
-40.885 2.478 0.033 0.003 0.03
-41.563 2.477 0.033 0.003 0.03
-42.222 2.476 0.033 0.003 0.03
-42.861 2.475 0.033 0.003 0.03
-43.481 2.474 0.033 0.003 0.03
-44.081 2.473 0.033 0.003 0.03
-44.661 2.472 0.033 0.003 0.03
-45.22 2.471 0.033 0.003 0.03
-45.76 2.47 0.033 0.003 0.03
-46.28 2.47 0.033 0.003 0.03
-46.781 2.469 0.033 0.003 0.03
-47.262 2.468 0.033 0.003 0.03
-47.724 2.468 0.033 0.003 0.03
-48.167 2.467 0.033 0.003 0.03
-48.592 2.466 0.033 0.003 0.03
-48.999 2.466 0.033 0.003 0.03
-49.388 2.465 0.033 0.003 0.03
-49.76 2.459 0.033 0.003 0.03
