2014-06-01 00:00:00  100 2
-0.0 3.764 0.027 0.004 0.043
-0.067 3.783 0.027 0.004 0.043
-0.137 3.794 0.027 0.004 0.043
-0.212 3.803 0.027 0.004 0.043
-0.292 3.81 0.027 0.004 0.043
-0.376 3.815 0.027 0.004 0.043
-0.464 3.82 0.027 0.004 0.043
-0.558 3.825 0.027 0.004 0.043
-0.658 3.829 0.027 0.004 0.043
-0.763 3.833 0.027 0.004 0.043
-0.875 3.837 0.027 0.004 0.043
-0.992 3.841 0.027 0.004 0.043
-1.117 3.844 0.027 0.004 0.043
-1.249 3.848 0.027 0.004 0.043
-1.388 3.851 0.027 0.004 0.044
-1.535 3.855 0.027 0.004 0.044
-1.69 3.859 0.027 0.004 0.044
-1.853 3.862 0.027 0.004 0.044
-2.026 3.866 0.027 0.004 0.044
-2.209 3.87 0.027 0.004 0.044
-2.401 3.874 0.027 0.004 0.044
-2.604 3.879 0.027 0.004 0.044
-2.817 3.884 0.027 0.004 0.044
-3.042 3.889 0.027 0.004 0.044
-3.279 3.895 0.028 0.004 0.044
-3.528 3.901 0.028 0.004 0.044
-3.79 3.908 0.028 0.004 0.044
-4.065 3.916 0.028 0.004 0.044
-4.355 3.926 0.028 0.004 0.044
-4.658 3.937 0.028 0.005 0.045
-4.977 3.95 0.028 0.005 0.045
-5.311 3.967 0.028 0.005 0.045
-5.661 3.991 0.028 0.005 0.045
-6.028 4.038 0.029 0.005 0.046
-6.411 4.115 0.029 0.005 0.047
-6.812 4.206 0.03 0.005 0.048
-7.231 4.311 0.031 0.005 0.05
-7.668 4.425 0.032 0.005 0.051
-8.124 4.564 0.033 0.005 0.053
-8.598 4.739 0.034 0.006 0.056
-9.092 4.958 0.036 0.006 0.059
-9.606 5.247 0.039 0.006 0.063
-10.139 5.648 0.042 0.007 0.069
-10.692 6.249 0.047 0.008 0.078
-11.265 7.134 0.055 0.009 0.091
-11.858 8.282 0.065 0.01 0.108
-12.471 14.993 0.123 0.019 0.211
-13.104 36.555 0.334 0.046 0.62
-13.757 35.334 0.351 0.045 0.68
-14.428 24.492 0.265 0.032 0.532
-15.119 20.339 0.233 0.028 0.482
-15.828 18.851 0.225 0.028 0.474
-16.555 17.808 0.22 0.028 0.469
-17.299 16.54 0.211 0.028 0.451
-18.059 14.732 0.194 0.026 0.414
-18.835 12.312 0.166 0.023 0.357
-19.625 9.848 0.135 0.019 0.295
-20.429 8.151 0.112 0.016 0.251
-21.245 7.229 0.1 0.015 0.226
-22.072 6.742 0.093 0.014 0.213
-22.909 6.471 0.09 0.014 0.206
-23.755 6.306 0.087 0.013 0.201
-24.608 6.2 0.086 0.013 0.198
-25.466 6.126 0.085 0.013 0.196
-26.328 6.072 0.084 0.013 0.194
-27.193 6.032 0.084 0.013 0.193
-28.06 6.002 0.083 0.013 0.192
-28.925 5.979 0.083 0.013 0.191
-29.789 5.96 0.083 0.013 0.191
-30.648 5.945 0.082 0.013 0.19
-31.503 5.933 0.082 0.013 0.19
-32.351 5.922 0.082 0.013 0.19
-33.192 5.913 0.082 0.012 0.189
-34.022 5.906 0.082 0.012 0.189
-34.842 5.899 0.082 0.012 0.189
-35.65 5.893 0.082 0.012 0.189
-36.445 5.888 0.082 0.012 0.189
-37.226 5.884 0.082 0.012 0.188
-37.991 5.88 0.081 0.012 0.188
-38.741 5.876 0.081 0.012 0.188
-39.473 5.873 0.081 0.012 0.188
-40.188 5.87 0.081 0.012 0.188
-40.885 5.867 0.081 0.012 0.188
-41.563 5.865 0.081 0.012 0.188
-42.222 5.863 0.081 0.012 0.188
-42.861 5.861 0.081 0.012 0.188
-43.481 5.859 0.081 0.012 0.188
-44.081 5.857 0.081 0.012 0.188
-44.661 5.856 0.081 0.012 0.187
-45.22 5.854 0.081 0.012 0.187
-45.76 5.853 0.081 0.012 0.187
-46.28 5.852 0.081 0.012 0.187
-46.781 5.851 0.081 0.012 0.187
-47.262 5.85 0.081 0.012 0.187
-47.724 5.849 0.081 0.012 0.187
-48.167 5.848 0.081 0.012 0.187
-48.592 5.847 0.081 0.012 0.187
-48.999 5.846 0.081 0.012 0.187
-49.388 5.846 0.081 0.012 0.187
-49.76 5.845 0.081 0.012 0.187
