2007-06-01 00:00:00  100 2
-0.0 15.882 0.186 0.009 0.241
-0.067 15.899 0.186 0.009 0.242
-0.137 15.909 0.186 0.009 0.242
-0.212 15.916 0.186 0.009 0.242
-0.292 15.922 0.186 0.009 0.242
-0.376 15.926 0.186 0.009 0.242
-0.464 15.93 0.186 0.009 0.242
-0.558 15.933 0.186 0.009 0.242
-0.658 15.936 0.186 0.009 0.242
-0.763 15.939 0.186 0.009 0.242
-0.875 15.942 0.186 0.009 0.242
-0.992 15.945 0.186 0.009 0.242
-1.117 15.948 0.186 0.009 0.242
-1.249 15.95 0.186 0.009 0.242
-1.388 15.953 0.186 0.009 0.242
-1.535 15.956 0.186 0.009 0.243
-1.69 15.959 0.186 0.009 0.243
-1.853 15.963 0.187 0.009 0.243
-2.026 15.966 0.187 0.009 0.243
-2.209 15.97 0.187 0.009 0.243
-2.401 15.974 0.187 0.009 0.243
-2.604 15.978 0.187 0.009 0.243
-2.817 15.982 0.187 0.009 0.243
-3.042 15.986 0.187 0.009 0.243
-3.279 15.991 0.187 0.009 0.244
-3.528 15.996 0.187 0.009 0.244
-3.79 16.001 0.187 0.009 0.244
-4.065 16.006 0.187 0.009 0.244
-4.355 16.011 0.187 0.009 0.244
-4.658 16.016 0.187 0.009 0.245
-4.977 16.022 0.188 0.009 0.245
-5.311 16.027 0.188 0.009 0.245
-5.661 16.032 0.188 0.009 0.246
-6.028 16.037 0.188 0.009 0.246
-6.411 16.039 0.188 0.009 0.247
-6.812 16.039 0.188 0.009 0.247
-7.231 16.035 0.188 0.009 0.248
-7.668 16.029 0.189 0.009 0.248
-8.124 16.019 0.189 0.009 0.249
-8.598 16.006 0.189 0.009 0.249
-9.092 15.989 0.189 0.009 0.249
-9.606 15.97 0.189 0.009 0.25
-10.139 15.946 0.189 0.009 0.25
-10.692 15.919 0.189 0.009 0.251
-11.265 15.888 0.189 0.009 0.251
-11.858 15.852 0.189 0.009 0.252
-12.471 15.813 0.189 0.009 0.252
-13.104 15.769 0.189 0.009 0.252
-13.757 15.72 0.189 0.009 0.253
-14.428 15.666 0.19 0.009 0.253
-15.119 15.603 0.19 0.009 0.253
-15.828 15.534 0.19 0.009 0.253
-16.555 15.452 0.19 0.009 0.253
-17.299 15.322 0.189 0.009 0.252
-18.059 15.151 0.188 0.009 0.253
-18.835 14.964 0.189 0.01 0.262
-19.625 14.767 0.191 0.012 0.297
-20.429 14.266 0.19 0.015 0.326
-21.245 13.202 0.18 0.02 0.351
-22.072 10.987 0.151 0.021 0.328
-22.909 7.284 0.101 0.015 0.23
-23.755 3.651 0.051 0.008 0.118
-24.608 3.152 0.044 0.007 0.102
-25.466 2.982 0.041 0.006 0.097
-26.328 2.9 0.04 0.006 0.094
-27.193 2.853 0.04 0.006 0.093
-28.06 2.824 0.039 0.006 0.092
-28.925 2.803 0.039 0.006 0.091
-29.789 2.787 0.039 0.006 0.091
-30.648 2.776 0.038 0.006 0.09
-31.503 2.767 0.038 0.006 0.09
-32.351 2.76 0.038 0.006 0.09
-33.192 2.754 0.038 0.006 0.09
-34.022 2.749 0.038 0.006 0.089
-34.842 2.745 0.038 0.006 0.089
-35.65 2.741 0.038 0.006 0.089
-36.445 2.738 0.038 0.006 0.089
-37.226 2.735 0.038 0.006 0.089
-37.991 2.733 0.038 0.006 0.089
-38.741 2.731 0.038 0.006 0.089
-39.473 2.729 0.038 0.006 0.089
-40.188 2.727 0.038 0.006 0.089
-40.885 2.725 0.038 0.006 0.089
-41.563 2.724 0.038 0.006 0.089
-42.222 2.723 0.038 0.006 0.089
-42.861 2.721 0.038 0.006 0.089
-43.481 2.72 0.038 0.006 0.088
-44.081 2.719 0.038 0.006 0.088
-44.661 2.718 0.038 0.006 0.088
-45.22 2.717 0.038 0.006 0.088
-45.76 2.717 0.038 0.006 0.088
-46.28 2.716 0.038 0.006 0.088
-46.781 2.715 0.038 0.006 0.088
-47.262 2.714 0.038 0.006 0.088
-47.724 2.714 0.038 0.006 0.088
-48.167 2.713 0.038 0.006 0.088
-48.592 2.713 0.038 0.006 0.088
-48.999 2.712 0.038 0.006 0.088
-49.388 2.712 0.038 0.006 0.088
-49.76 2.711 0.038 0.006 0.088
