2007-06-01 00:00:00  100 2
-0.0 19.54 0.234 0.013 0.368 0.234
-0.067 19.54 0.234 0.013 0.368 0.234
-0.137 19.54 0.234 0.013 0.368 0.234
-0.212 19.54 0.234 0.013 0.368 0.234
-0.292 19.541 0.234 0.013 0.368 0.234
-0.376 19.541 0.234 0.013 0.368 0.234
-0.464 19.541 0.234 0.013 0.368 0.234
-0.558 19.541 0.234 0.013 0.368 0.234
-0.658 19.541 0.234 0.013 0.368 0.234
-0.763 19.541 0.234 0.013 0.368 0.234
-0.875 19.542 0.234 0.013 0.368 0.234
-0.992 19.542 0.234 0.013 0.368 0.234
-1.117 19.542 0.234 0.013 0.368 0.234
-1.249 19.542 0.234 0.013 0.368 0.234
-1.388 19.542 0.234 0.013 0.369 0.234
-1.535 19.542 0.234 0.013 0.369 0.234
-1.69 19.543 0.234 0.013 0.369 0.234
-1.853 19.543 0.234 0.013 0.369 0.234
-2.026 19.543 0.234 0.013 0.369 0.234
-2.209 19.544 0.234 0.013 0.369 0.234
-2.401 19.544 0.234 0.013 0.369 0.234
-2.604 19.545 0.234 0.013 0.369 0.234
-2.817 19.546 0.234 0.013 0.369 0.234
-3.042 19.546 0.234 0.013 0.369 0.234
-3.279 19.547 0.234 0.013 0.369 0.234
-3.528 19.548 0.234 0.013 0.369 0.234
-3.79 19.549 0.234 0.013 0.369 0.234
-4.065 19.55 0.234 0.013 0.37 0.234
-4.355 19.551 0.234 0.013 0.37 0.234
-4.658 19.552 0.234 0.013 0.37 0.234
-4.977 19.553 0.234 0.013 0.37 0.234
-5.311 19.554 0.234 0.013 0.371 0.234
-5.661 19.555 0.234 0.013 0.371 0.234
-6.028 19.555 0.234 0.013 0.371 0.234
-6.411 19.556 0.234 0.013 0.372 0.234
-6.812 19.557 0.234 0.013 0.372 0.234
-7.231 19.557 0.234 0.013 0.373 0.234
-7.668 19.556 0.234 0.013 0.374 0.234
-8.124 19.555 0.234 0.013 0.374 0.234
-8.598 19.553 0.234 0.013 0.375 0.234
-9.092 19.55 0.234 0.013 0.376 0.234
-9.606 19.544 0.234 0.013 0.377 0.234
-10.139 19.537 0.234 0.013 0.378 0.234
-10.692 19.527 0.234 0.013 0.379 0.234
-11.265 19.514 0.234 0.013 0.381 0.234
-11.858 19.498 0.234 0.013 0.382 0.233
-12.471 19.478 0.234 0.013 0.383 0.233
-13.104 19.454 0.234 0.013 0.385 0.233
-13.757 19.425 0.234 0.013 0.386 0.233
-14.428 19.39 0.234 0.013 0.388 0.232
-15.119 19.348 0.234 0.013 0.39 0.232
-15.828 19.301 0.234 0.014 0.393 0.231
-16.555 19.253 0.234 0.014 0.395 0.231
-17.299 19.21 0.235 0.014 0.399 0.23
-18.059 19.213 0.236 0.014 0.409 0.23
-18.835 19.504 0.242 0.015 0.443 0.234
-19.625 20.714 0.263 0.019 0.545 0.248
-20.429 22.563 0.296 0.025 0.682 0.27
-21.245 24.708 0.331 0.033 0.853 0.296
-22.072 23.85 0.322 0.035 0.9 0.286
-22.909 16.688 0.226 0.026 0.664 0.2
-23.755 7.625 0.103 0.012 0.325 0.092
-24.608 6.333 0.086 0.01 0.276 0.076
-25.466 5.884 0.08 0.009 0.259 0.071
-26.328 5.664 0.077 0.009 0.251 0.068
-27.193 5.536 0.075 0.009 0.246 0.067
-28.06 5.454 0.074 0.009 0.243 0.066
-28.925 5.396 0.073 0.008 0.24 0.065
-29.789 5.354 0.073 0.008 0.239 0.065
-30.648 5.322 0.072 0.008 0.237 0.064
-31.503 5.297 0.072 0.008 0.236 0.064
-32.351 5.277 0.071 0.008 0.236 0.064
-33.192 5.26 0.071 0.008 0.235 0.063
-34.022 5.245 0.071 0.008 0.234 0.063
-34.842 5.233 0.071 0.008 0.234 0.063
-35.65 5.222 0.071 0.008 0.233 0.063
-36.445 5.213 0.071 0.008 0.233 0.063
-37.226 5.205 0.07 0.008 0.233 0.063
-37.991 5.197 0.07 0.008 0.232 0.063
-38.741 5.191 0.07 0.008 0.232 0.063
-39.473 5.184 0.07 0.008 0.232 0.063
-40.188 5.179 0.07 0.008 0.232 0.063
-40.885 5.174 0.07 0.008 0.231 0.062
-41.563 5.169 0.07 0.008 0.231 0.062
-42.222 5.165 0.07 0.008 0.231 0.062
-42.861 5.161 0.07 0.008 0.231 0.062
-43.481 5.158 0.07 0.008 0.231 0.062
-44.081 5.154 0.07 0.008 0.23 0.062
-44.661 5.151 0.07 0.008 0.23 0.062
-45.22 5.148 0.07 0.008 0.23 0.062
-45.76 5.146 0.07 0.008 0.23 0.062
-46.28 5.143 0.07 0.008 0.23 0.062
-46.781 5.141 0.07 0.008 0.23 0.062
-47.262 5.138 0.07 0.008 0.23 0.062
-47.724 5.136 0.07 0.008 0.23 0.062
-48.167 5.133 0.07 0.008 0.23 0.062
-48.592 5.131 0.069 0.008 0.229 0.062
-48.999 5.128 0.069 0.008 0.229 0.062
-49.388 5.125 0.069 0.008 0.229 0.062
-49.76 5.101 0.069 0.008 0.228 0.062
