2007-06-01 00:00:00  100 2
-0.0 18.376 0.347 0.022
-0.067 18.377 0.347 0.022
-0.137 18.377 0.347 0.022
-0.212 18.377 0.347 0.022
-0.292 18.377 0.347 0.022
-0.376 18.377 0.347 0.022
-0.464 18.377 0.347 0.022
-0.558 18.378 0.347 0.022
-0.658 18.378 0.347 0.022
-0.763 18.378 0.347 0.022
-0.875 18.378 0.347 0.022
-0.992 18.378 0.347 0.022
-1.117 18.378 0.347 0.022
-1.249 18.378 0.347 0.022
-1.388 18.378 0.347 0.022
-1.535 18.378 0.347 0.022
-1.69 18.378 0.347 0.022
-1.853 18.378 0.347 0.022
-2.026 18.378 0.347 0.022
-2.209 18.378 0.347 0.022
-2.401 18.378 0.347 0.022
-2.604 18.378 0.347 0.022
-2.817 18.378 0.347 0.022
-3.042 18.378 0.347 0.022
-3.279 18.378 0.347 0.022
-3.528 18.378 0.347 0.022
-3.79 18.378 0.347 0.022
-4.065 18.378 0.347 0.022
-4.355 18.378 0.347 0.022
-4.658 18.378 0.347 0.022
-4.977 18.377 0.347 0.022
-5.311 18.377 0.347 0.022
-5.661 18.377 0.347 0.022
-6.028 18.376 0.347 0.022
-6.411 18.375 0.347 0.022
-6.812 18.375 0.347 0.022
-7.231 18.373 0.347 0.022
-7.668 18.372 0.347 0.022
-8.124 18.371 0.347 0.022
-8.598 18.369 0.347 0.022
-9.092 18.367 0.347 0.022
-9.606 18.365 0.347 0.022
-10.139 18.363 0.347 0.022
-10.692 18.36 0.347 0.022
-11.265 18.356 0.347 0.022
-11.858 18.352 0.347 0.022
-12.471 18.348 0.347 0.022
-13.104 18.343 0.347 0.022
-13.757 18.336 0.346 0.022
-14.428 18.329 0.346 0.022
-15.119 18.319 0.346 0.022
-15.828 18.306 0.346 0.022
-16.555 18.288 0.346 0.022
-17.299 18.255 0.345 0.022
-18.059 18.179 0.344 0.022
-18.835 17.896 0.339 0.022
-19.625 16.914 0.321 0.021
-20.429 15.277 0.289 0.019
-21.245 12.377 0.232 0.016
-22.072 8.904 0.165 0.012
-22.909 5.901 0.108 0.008
-23.755 3.958 0.071 0.005
-24.608 3.723 0.067 0.004
-25.466 3.65 0.065 0.004
-26.328 3.618 0.065 0.004
-27.193 3.6 0.065 0.004
-28.06 3.59 0.064 0.004
-28.925 3.583 0.064 0.004
-29.789 3.578 0.064 0.004
-30.648 3.574 0.064 0.004
-31.503 3.571 0.064 0.004
-32.351 3.569 0.064 0.004
-33.192 3.567 0.064 0.004
-34.022 3.566 0.064 0.004
-34.842 3.565 0.064 0.004
-35.65 3.564 0.064 0.004
-36.445 3.563 0.064 0.004
-37.226 3.562 0.064 0.004
-37.991 3.561 0.064 0.004
-38.741 3.561 0.064 0.004
-39.473 3.56 0.064 0.004
-40.188 3.56 0.064 0.004
-40.885 3.559 0.064 0.004
-41.563 3.559 0.064 0.004
-42.222 3.559 0.064 0.004
-42.861 3.558 0.064 0.004
-43.481 3.558 0.064 0.004
-44.081 3.558 0.064 0.004
-44.661 3.557 0.064 0.004
-45.22 3.557 0.064 0.004
-45.76 3.557 0.064 0.004
-46.28 3.557 0.064 0.004
-46.781 3.557 0.064 0.004
-47.262 3.556 0.064 0.004
-47.724 3.556 0.064 0.004
-48.167 3.556 0.064 0.004
-48.592 3.556 0.064 0.004
-48.999 3.556 0.064 0.004
-49.388 3.556 0.064 0.004
-49.76 3.556 0.064 0.004
