2007-06-01 00:00:00  100 2
-0.0 22.143 0.43 0.043
-0.067 22.143 0.43 0.043
-0.137 22.143 0.43 0.043
-0.212 22.143 0.43 0.043
-0.292 22.144 0.43 0.043
-0.376 22.144 0.43 0.043
-0.464 22.144 0.43 0.043
-0.558 22.144 0.43 0.043
-0.658 22.144 0.43 0.043
-0.763 22.144 0.43 0.043
-0.875 22.144 0.43 0.043
-0.992 22.144 0.43 0.043
-1.117 22.144 0.43 0.043
-1.249 22.144 0.43 0.043
-1.388 22.144 0.43 0.043
-1.535 22.145 0.43 0.043
-1.69 22.145 0.43 0.043
-1.853 22.145 0.43 0.043
-2.026 22.145 0.43 0.043
-2.209 22.145 0.43 0.043
-2.401 22.145 0.43 0.043
-2.604 22.145 0.43 0.043
-2.817 22.146 0.43 0.043
-3.042 22.146 0.43 0.043
-3.279 22.146 0.43 0.043
-3.528 22.147 0.43 0.043
-3.79 22.147 0.431 0.043
-4.065 22.147 0.431 0.043
-4.355 22.148 0.431 0.043
-4.658 22.148 0.431 0.043
-4.977 22.149 0.431 0.043
-5.311 22.15 0.431 0.043
-5.661 22.15 0.431 0.043
-6.028 22.151 0.431 0.043
-6.411 22.152 0.431 0.043
-6.812 22.153 0.431 0.043
-7.231 22.154 0.431 0.043
-7.668 22.154 0.431 0.043
-8.124 22.154 0.431 0.043
-8.598 22.154 0.431 0.043
-9.092 22.154 0.431 0.043
-9.606 22.154 0.431 0.043
-10.139 22.153 0.431 0.043
-10.692 22.152 0.431 0.043
-11.265 22.15 0.43 0.043
-11.858 22.148 0.43 0.043
-12.471 22.145 0.43 0.043
-13.104 22.142 0.43 0.043
-13.757 22.138 0.43 0.043
-14.428 22.133 0.43 0.043
-15.119 22.126 0.43 0.043
-15.828 22.117 0.43 0.043
-16.555 22.105 0.43 0.043
-17.299 22.083 0.429 0.043
-18.059 22.035 0.428 0.042
-18.835 21.857 0.424 0.042
-19.625 21.258 0.411 0.041
-20.429 20.293 0.39 0.04
-21.245 18.604 0.355 0.037
-22.072 16.531 0.312 0.034
-22.909 14.435 0.267 0.029
-23.755 12.699 0.228 0.025
-24.608 12.474 0.223 0.025
-25.466 12.401 0.222 0.025
-26.328 12.368 0.221 0.024
-27.193 12.35 0.221 0.024
-28.06 12.339 0.22 0.024
-28.925 12.332 0.22 0.024
-29.789 12.327 0.22 0.024
-30.648 12.323 0.22 0.024
-31.503 12.32 0.22 0.024
-32.351 12.318 0.22 0.024
-33.192 12.316 0.22 0.024
-34.022 12.314 0.22 0.024
-34.842 12.313 0.22 0.024
-35.65 12.312 0.22 0.024
-36.445 12.311 0.22 0.024
-37.226 12.31 0.22 0.024
-37.991 12.309 0.22 0.024
-38.741 12.309 0.22 0.024
-39.473 12.308 0.22 0.024
-40.188 12.308 0.22 0.024
-40.885 12.307 0.22 0.024
-41.563 12.307 0.22 0.024
-42.222 12.307 0.22 0.024
-42.861 12.306 0.22 0.024
-43.481 12.306 0.22 0.024
-44.081 12.306 0.22 0.024
-44.661 12.305 0.22 0.024
-45.22 12.305 0.22 0.024
-45.76 12.305 0.22 0.024
-46.28 12.305 0.22 0.024
-46.781 12.305 0.22 0.024
-47.262 12.304 0.22 0.024
-47.724 12.304 0.22 0.024
-48.167 12.304 0.22 0.024
-48.592 12.304 0.22 0.024
-48.999 12.304 0.22 0.024
-49.388 12.304 0.22 0.024
-49.76 12.304 0.22 0.024
