2007-06-01 00:00:00  100 2
-0.0 12.509 0.21 0.016
-0.067 12.509 0.21 0.016
-0.137 12.509 0.21 0.016
-0.212 12.509 0.21 0.016
-0.292 12.509 0.21 0.016
-0.376 12.509 0.21 0.016
-0.464 12.509 0.21 0.016
-0.558 12.509 0.21 0.016
-0.658 12.509 0.21 0.016
-0.763 12.509 0.21 0.016
-0.875 12.509 0.21 0.016
-0.992 12.509 0.21 0.016
-1.117 12.509 0.21 0.016
-1.249 12.509 0.21 0.016
-1.388 12.509 0.21 0.016
-1.535 12.509 0.21 0.016
-1.69 12.509 0.21 0.016
-1.853 12.509 0.21 0.016
-2.026 12.509 0.21 0.016
-2.209 12.509 0.21 0.016
-2.401 12.509 0.21 0.016
-2.604 12.509 0.21 0.016
-2.817 12.509 0.21 0.016
-3.042 12.508 0.21 0.016
-3.279 12.508 0.21 0.016
-3.528 12.508 0.21 0.016
-3.79 12.507 0.21 0.016
-4.065 12.507 0.21 0.016
-4.355 12.506 0.21 0.016
-4.658 12.505 0.21 0.016
-4.977 12.504 0.21 0.016
-5.311 12.503 0.21 0.016
-5.661 12.501 0.21 0.016
-6.028 12.499 0.21 0.016
-6.411 12.497 0.21 0.016
-6.812 12.494 0.21 0.016
-7.231 12.491 0.21 0.016
-7.668 12.487 0.21 0.016
-8.124 12.483 0.209 0.016
-8.598 12.478 0.209 0.016
-9.092 12.474 0.209 0.016
-9.606 12.468 0.209 0.016
-10.139 12.462 0.209 0.016
-10.692 12.455 0.209 0.016
-11.265 12.447 0.209 0.016
-11.858 12.438 0.209 0.016
-12.471 12.429 0.209 0.016
-13.104 12.418 0.209 0.016
-13.757 12.405 0.208 0.016
-14.428 12.391 0.208 0.016
-15.119 12.373 0.208 0.016
-15.828 12.352 0.208 0.016
-16.555 12.325 0.207 0.016
-17.299 12.28 0.206 0.016
-18.059 12.188 0.205 0.016
-18.835 11.873 0.2 0.015
-19.625 10.93 0.184 0.015
-20.429 9.643 0.161 0.014
-21.245 7.652 0.126 0.011
-22.072 5.481 0.089 0.009
-22.909 3.548 0.058 0.006
-23.755 2.139 0.035 0.004
-24.608 1.962 0.032 0.003
-25.466 1.907 0.031 0.003
-26.328 1.881 0.031 0.003
-27.193 1.867 0.031 0.003
-28.06 1.859 0.03 0.003
-28.925 1.853 0.03 0.003
-29.789 1.849 0.03 0.003
-30.648 1.846 0.03 0.003
-31.503 1.844 0.03 0.003
-32.351 1.842 0.03 0.003
-33.192 1.841 0.03 0.003
-34.022 1.839 0.03 0.003
-34.842 1.838 0.03 0.003
-35.65 1.838 0.03 0.003
-36.445 1.837 0.03 0.003
-37.226 1.836 0.03 0.003
-37.991 1.836 0.03 0.003
-38.741 1.835 0.03 0.003
-39.473 1.835 0.03 0.003
-40.188 1.834 0.03 0.003
-40.885 1.834 0.03 0.003
-41.563 1.834 0.03 0.003
-42.222 1.833 0.03 0.003
-42.861 1.833 0.03 0.003
-43.481 1.833 0.03 0.003
-44.081 1.833 0.03 0.003
-44.661 1.832 0.03 0.003
-45.22 1.832 0.03 0.003
-45.76 1.832 0.03 0.003
-46.28 1.832 0.03 0.003
-46.781 1.832 0.03 0.003
-47.262 1.832 0.03 0.003
-47.724 1.832 0.03 0.003
-48.167 1.831 0.03 0.003
-48.592 1.831 0.03 0.003
-48.999 1.831 0.03 0.003
-49.388 1.831 0.03 0.003
-49.76 1.831 0.03 0.003
