2007-06-01 00:00:00  100 2
-0.0 28.223 0.328 0.02 0.207
-0.067 28.223 0.328 0.02 0.207
-0.137 28.222 0.328 0.02 0.207
-0.212 28.221 0.328 0.02 0.207
-0.292 28.22 0.328 0.02 0.207
-0.376 28.218 0.328 0.02 0.207
-0.464 28.217 0.328 0.02 0.207
-0.558 28.215 0.328 0.02 0.207
-0.658 28.213 0.328 0.02 0.207
-0.763 28.211 0.328 0.02 0.207
-0.875 28.208 0.328 0.02 0.207
-0.992 28.206 0.328 0.02 0.207
-1.117 28.203 0.328 0.02 0.208
-1.249 28.2 0.327 0.02 0.208
-1.388 28.196 0.327 0.02 0.208
-1.535 28.192 0.327 0.02 0.208
-1.69 28.188 0.327 0.02 0.208
-1.853 28.182 0.327 0.02 0.208
-2.026 28.176 0.327 0.02 0.208
-2.209 28.169 0.327 0.02 0.208
-2.401 28.161 0.327 0.02 0.208
-2.604 28.152 0.327 0.02 0.208
-2.817 28.142 0.327 0.02 0.208
-3.042 28.129 0.327 0.02 0.208
-3.279 28.115 0.327 0.02 0.208
-3.528 28.098 0.327 0.02 0.208
-3.79 28.079 0.327 0.02 0.208
-4.065 28.056 0.327 0.02 0.208
-4.355 28.03 0.327 0.02 0.208
-4.658 27.999 0.327 0.02 0.208
-4.977 27.962 0.327 0.02 0.208
-5.311 27.919 0.327 0.02 0.208
-5.661 27.868 0.326 0.02 0.208
-6.028 27.809 0.326 0.02 0.209
-6.411 27.741 0.326 0.02 0.209
-6.812 27.664 0.326 0.02 0.209
-7.231 27.579 0.325 0.02 0.209
-7.668 27.487 0.325 0.02 0.209
-8.124 27.388 0.325 0.02 0.209
-8.598 27.279 0.324 0.02 0.209
-9.092 27.16 0.324 0.02 0.21
-9.606 27.029 0.323 0.02 0.21
-10.139 26.888 0.323 0.02 0.21
-10.692 26.735 0.322 0.02 0.209
-11.265 26.569 0.321 0.02 0.209
-11.858 26.39 0.32 0.02 0.209
-12.471 26.198 0.319 0.02 0.209
-13.104 25.99 0.318 0.02 0.208
-13.757 25.767 0.317 0.02 0.207
-14.428 25.524 0.315 0.02 0.206
-15.119 25.255 0.314 0.02 0.205
-15.828 24.976 0.311 0.02 0.203
-16.555 24.675 0.309 0.02 0.201
-17.299 24.291 0.305 0.02 0.198
-18.059 23.723 0.298 0.02 0.194
-18.835 22.444 0.284 0.019 0.186
-19.625 19.584 0.251 0.019 0.172
-20.429 16.45 0.213 0.017 0.154
-21.245 12.464 0.163 0.014 0.129
-22.072 8.517 0.112 0.01 0.098
-22.909 5.085 0.067 0.006 0.062
-23.755 2.427 0.032 0.003 0.029
-24.608 2.072 0.027 0.002 0.025
-25.466 1.954 0.026 0.002 0.023
-26.328 1.898 0.025 0.002 0.023
-27.193 1.866 0.025 0.002 0.022
-28.06 1.845 0.024 0.002 0.022
-28.925 1.831 0.024 0.002 0.022
-29.789 1.821 0.024 0.002 0.022
-30.648 1.814 0.024 0.002 0.022
-31.503 1.808 0.024 0.002 0.022
-32.351 1.803 0.024 0.002 0.021
-33.192 1.799 0.024 0.002 0.021
-34.022 1.796 0.024 0.002 0.021
-34.842 1.793 0.024 0.002 0.021
-35.65 1.791 0.024 0.002 0.021
-36.445 1.789 0.024 0.002 0.021
-37.226 1.787 0.024 0.002 0.021
-37.991 1.786 0.024 0.002 0.021
-38.741 1.784 0.024 0.002 0.021
-39.473 1.783 0.024 0.002 0.021
-40.188 1.782 0.024 0.002 0.021
-40.885 1.781 0.024 0.002 0.021
-41.563 1.78 0.024 0.002 0.021
-42.222 1.779 0.024 0.002 0.021
-42.861 1.778 0.024 0.002 0.021
-43.481 1.777 0.024 0.002 0.021
-44.081 1.776 0.024 0.002 0.021
-44.661 1.776 0.023 0.002 0.021
-45.22 1.775 0.023 0.002 0.021
-45.76 1.775 0.023 0.002 0.021
-46.28 1.774 0.023 0.002 0.021
-46.781 1.774 0.023 0.002 0.021
-47.262 1.773 0.023 0.002 0.021
-47.724 1.773 0.023 0.002 0.021
-48.167 1.772 0.023 0.002 0.021
-48.592 1.772 0.023 0.002 0.021
-48.999 1.771 0.023 0.002 0.021
-49.388 1.771 0.023 0.002 0.021
-49.76 1.767 0.023 0.002 0.021
